Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651570370873,03/05/2022 09:32:50,1651570370764,1,03/05/2022 10:32:50,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651570379490,03/05/2022 09:32:59,1651570379458,1,03/05/2022 10:32:59,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,1,1,1,Screen 1,advancementZone,continue_button,8623,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651570385049,03/05/2022 09:33:05,1651570384993,1,03/05/2022 10:33:04,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,45,1,1,Screen 1,continueButton,response_rating_scale_likert_active,5498.999999999998,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,the EU never really wanted us to be part of it in the first place.,1,4/4/22,4/4/22,R_9taCGCgyO6klDuV,YES,Leave (For Brexit),Confident,Neither Agree nor Disagree,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,31,Female,NA,"Undergraduate degree (BSc, BA)",NA,47,3,Leave,Leave
4,1651570392061,03/05/2022 09:33:12,1651570392004,1,03/05/2022 10:33:12,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,49,2,1,Screen 1,continueButton,response_rating_scale_likert_active,6981,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,For our independence and gain some of our powers back.,1,4/4/22,4/4/22,R_w6JNZ3vG8dodUFH,YES,Leave (For Brexit),Undecided,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,28,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,48,1,Leave,Leave
5,1651570397919,03/05/2022 09:33:17,1651570397859,1,03/05/2022 10:33:17,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,54,3,1,Screen 1,continueButton,response_rating_scale_likert_active,5821,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Could keep ties/relationships to other countries strong,1,4/4/22,4/4/22,R_DquVyF8cSMfvCyB,YES,Leave (For Brexit),Somewhat Confident,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,22,Female,NA,A levels,NA,49,3,Leave,Remain
6,1651570402921,03/05/2022 09:33:22,1651570402876,1,03/05/2022 10:33:22,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,42,4,1,Screen 1,continueButton,response_rating_scale_likert_active,4981,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,More beneficial trading within EU,1,4/4/22,4/4/22,R_9taCGCgyO6klDuV,YES,Leave (For Brexit),Confident,Neither Agree nor Disagree,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,31,Female,NA,"Undergraduate degree (BSc, BA)",NA,47,3,Leave,Remain
7,1651570416080,03/05/2022 09:33:36,1651570416041,1,03/05/2022 10:33:36,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,60,5,1,Screen 1,continueButton,response_rating_scale_likert_active,13124,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Remainers felt that a united front both politically and from a military perspective would be preferable as the peace of europe had been good since the second world war,1,4/4/22,4/4/22,R_qyh34tWKoPgjn0d,YES,Leave (For Brexit),Very confident,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,A few times a year,70,Male,NA,A levels,Disappointed that so many people are happy to push for a return to the EU,50,3,Leave,Remain
8,1651570425256,03/05/2022 09:33:45,1651570425202,1,03/05/2022 10:33:45,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,10,6,1,Screen 1,continueButton,response_rating_scale_likert_active,9128,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,safety and security of the country,1,4/4/22,4/4/22,R_3ffVTR74dP08UbK,YES,Leave (For Brexit),Very confident,Neither Agree nor Disagree,NA,Agree,Disagree,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Rarely,Most months,59,Male,NA,GCSEs,NA,42,1,Leave,Remain
9,1651570429543,03/05/2022 09:33:49,1651570429506,1,03/05/2022 10:33:49,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,33,7,1,Screen 1,continueButton,response_rating_scale_likert_active,4266,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Less immigration or controlled immigration,1,4/4/22,4/4/22,R_3npJCTxmbAmRamd,YES,Leave (For Brexit),Confident,Agree,NA,Somewhat Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Never,Rarely,35,Female,NA,"Undergraduate degree (BSc, BA)",NA,45,3,Leave,Leave
10,1651570434684,03/05/2022 09:33:54,1651570434646,1,03/05/2022 10:33:54,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,24,8,1,Screen 1,continueButton,response_rating_scale_likert_active,5113,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"For holidaying purposes, to allow us to freely travel abroad without visas and restrictions",1,4/4/22,4/4/22,R_1g2BXhU0g1nPzsH,YES,Leave (For Brexit),Undecided,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,40,Female,NA,"Undergraduate degree (BSc, BA)",NA,44,3,Leave,Remain
11,1651570442911,03/05/2022 09:34:02,1651570442862,1,03/05/2022 10:34:02,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,55,9,1,Screen 1,continueButton,response_rating_scale_likert_active,8184,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Voting leave will mean that some products will be cheaper as we will not be importing them from other countries.,1,4/4/22,4/4/22,R_DquVyF8cSMfvCyB,YES,Leave (For Brexit),Somewhat Confident,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,22,Female,NA,A levels,NA,49,1,Leave,Leave
12,1651570445282,03/05/2022 09:34:05,1651570445245,1,03/05/2022 10:34:05,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,57,10,1,Screen 1,continueButton,response_rating_scale_likert_active,2350,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Better for local small businesses,1,4/4/22,4/4/22,R_DquVyF8cSMfvCyB,YES,Leave (For Brexit),Somewhat Confident,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,Rarely,22,Female,NA,A levels,NA,49,3,Leave,Leave
13,1651570458340,03/05/2022 09:34:18,1651570458296,1,03/05/2022 10:34:18,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,61,11,1,Screen 1,continueButton,response_rating_scale_likert_active,13020,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It would be possible to commence preventing unwanted immigration into the UK. More importantly any immigration could be controlled.,1,4/4/22,4/4/22,R_qyh34tWKoPgjn0d,YES,Leave (For Brexit),Very confident,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,A few times a year,70,Male,NA,A levels,Disappointed that so many people are happy to push for a return to the EU,50,1,Leave,Leave
14,1651570464023,03/05/2022 09:34:24,1651570463961,1,03/05/2022 10:34:23,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,2,12,1,Screen 1,continueButton,response_rating_scale_likert_active,5626.999999999985,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select 'Somewhat Agree' for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check1,NA,NA
15,1651570470536,03/05/2022 09:34:30,1651570470497,1,03/05/2022 10:34:30,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,38,13,1,Screen 1,continueButton,response_rating_scale_likert_active,6503,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Too many rules being imposed,1,4/4/22,4/4/22,R_1j6sJuOAAZ1cXvR,YES,Leave (For Brexit),Undecided,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Never,65,Female,NA,"Undergraduate degree (BSc, BA)",NA,46,2,Leave,Leave
16,1651570474202,03/05/2022 09:34:34,1651570474165,1,03/05/2022 10:34:34,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,34,14,1,Screen 1,continueButton,response_rating_scale_likert_active,3632,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Itâs worthwhile being a member,1,4/4/22,4/4/22,R_1j6sJuOAAZ1cXvR,YES,Leave (For Brexit),Undecided,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Never,65,Female,NA,"Undergraduate degree (BSc, BA)",NA,46,1,Leave,Remain
17,1651570479318,03/05/2022 09:34:39,1651570479270,1,03/05/2022 10:34:39,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,9,15,1,Screen 1,continueButton,response_rating_scale_likert_active,5069,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,'-To have more control of our laws and regulations and the security of Britain,1,4/4/22,4/4/22,R_xxSYhMfOkldbJ7P,YES,Leave (For Brexit),Undecided,Neither Agree nor Disagree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Never,Never,26,Female,NA,Vocational Training / Apprenticeship,NA,41,3,Leave,Leave
18,1651570492870,03/05/2022 09:34:52,1651570492832,1,03/05/2022 10:34:52,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,58,16,1,Screen 1,continueButton,response_rating_scale_likert_active,13520,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Remainers to whom I spoke seemed convince that the UK would lose huge amounts of trade and therefore income would suffer.,1,4/4/22,4/4/22,R_qyh34tWKoPgjn0d,YES,Leave (For Brexit),Very confident,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Rarely,A few times a year,70,Male,NA,A levels,Disappointed that so many people are happy to push for a return to the EU,50,1,Leave,Remain
19,1651570497646,03/05/2022 09:34:57,1651570497602,1,03/05/2022 10:34:57,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,46,17,1,Screen 1,continueButton,response_rating_scale_likert_active,4738,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,For national security.,1,4/4/22,4/4/22,R_w6JNZ3vG8dodUFH,YES,Leave (For Brexit),Undecided,Somewhat Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,28,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,48,1,Leave,Remain
20,1651570511009,03/05/2022 09:35:11,1651570510965,1,03/05/2022 10:35:10,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,44,18,1,Screen 1,continueButton,response_rating_scale_likert_active,13327,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"They always change the goal posts for agreements, e.g. an agreement needs to be made negotiated but they didn't allow any concessions, not budging on any points and saying 'time is running out'",1,4/4/22,4/4/22,R_9taCGCgyO6klDuV,YES,Leave (For Brexit),Confident,Neither Agree nor Disagree,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,31,Female,NA,"Undergraduate degree (BSc, BA)",NA,47,2,Leave,Leave
21,1651570516323,03/05/2022 09:35:16,1651570516266,1,03/05/2022 10:35:16,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,4,19,1,Screen 1,continueButton,response_rating_scale_likert_active,5263,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,EU businesses can continue to invest money into business in the UK,1,4/4/22,4/4/22,R_xxSYhMfOkldbJ7P,YES,Leave (For Brexit),Undecided,Neither Agree nor Disagree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Never,Never,26,Female,NA,Vocational Training / Apprenticeship,NA,41,1,Leave,Remain
22,1651570519370,03/05/2022 09:35:19,1651570519317,1,03/05/2022 10:35:19,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,5,20,1,Screen 1,continueButton,response_rating_scale_likert_active,3021,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It opens up more jobs or keep hold of jobs.,1,4/4/22,4/4/22,R_xxSYhMfOkldbJ7P,YES,Leave (For Brexit),Undecided,Neither Agree nor Disagree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Never,Never,26,Female,NA,Vocational Training / Apprenticeship,NA,41,2,Leave,Remain
23,1651570523051,03/05/2022 09:35:23,1651570523000,1,03/05/2022 10:35:23,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,21,21,1,Screen 1,continueButton,response_rating_scale_likert_active,3648,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Interest of British People,1,4/4/22,4/4/22,R_3L07aq1mB3qS0gQ,YES,Leave (For Brexit),Confident,Agree,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Rarely,A few times a year,28,Male,NA,"Undergraduate degree (BSc, BA)",NA,43,3,Leave,Leave
24,1651570525918,03/05/2022 09:35:25,1651570525698,1,03/05/2022 10:35:25,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,15,22,1,Screen 1,continueButton,response_rating_scale_likert_active,2663,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,uncontrolled immigration,1,4/4/22,4/4/22,R_3ffVTR74dP08UbK,YES,Leave (For Brexit),Very confident,Neither Agree nor Disagree,NA,Agree,Disagree,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Rarely,Most months,59,Male,NA,GCSEs,NA,42,3,Leave,Leave
25,1651570528072,03/05/2022 09:35:28,1651570528017,1,03/05/2022 10:35:28,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,30,23,1,Screen 1,continueButton,response_rating_scale_likert_active,2289,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We are better protected,1,4/4/22,4/4/22,R_3npJCTxmbAmRamd,YES,Leave (For Brexit),Confident,Agree,NA,Somewhat Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Never,Rarely,35,Female,NA,"Undergraduate degree (BSc, BA)",NA,45,3,Leave,Remain
26,1651570529839,03/05/2022 09:35:29,1651570529800,1,03/05/2022 10:35:29,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,40,24,1,Screen 1,continueButton,response_rating_scale_likert_active,1749.000000000029,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Ease of travel between countries in the EU,1,4/4/22,4/4/22,R_9taCGCgyO6klDuV,YES,Leave (For Brexit),Confident,Neither Agree nor Disagree,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,31,Female,NA,"Undergraduate degree (BSc, BA)",NA,47,1,Leave,Remain
27,1651570532317,03/05/2022 09:35:32,1651570532266,1,03/05/2022 10:35:32,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,28,25,1,Screen 1,continueButton,response_rating_scale_likert_active,2434,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We are stronger in the EU,1,4/4/22,4/4/22,R_3npJCTxmbAmRamd,YES,Leave (For Brexit),Confident,Agree,NA,Somewhat Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Never,Rarely,35,Female,NA,"Undergraduate degree (BSc, BA)",NA,45,1,Leave,Remain
28,1651570533942,03/05/2022 09:35:33,1651570533899,1,03/05/2022 10:35:33,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,29,26,1,Screen 1,continueButton,response_rating_scale_likert_active,1599,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Less impact on exports,1,4/4/22,4/4/22,R_3npJCTxmbAmRamd,YES,Leave (For Brexit),Confident,Agree,NA,Somewhat Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Never,Rarely,35,Female,NA,"Undergraduate degree (BSc, BA)",NA,45,2,Leave,Remain
29,1651570537319,03/05/2022 09:35:37,1651570537269,1,03/05/2022 10:35:37,85800,6,task-39lm,NA,21634069,6396296,NA,complete,NA,6270f681342bf667972f5829,mobile,Apple iPhone,iOS 15.4.1,Mobile Safari 15.4,375x667,667x296,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_leavers,batch5_leavers,13,27,1,Screen 1,continueButton,response_rating_scale_likert_active,3342,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Our own laws which had been eroded,1,4/4/22,4/4/22,R_3ffVTR74dP08UbK,YES,Leave (For Brexit),Very confident,Neither Agree nor Disagree,NA,Agree,Disagree,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Rarely,Most months,59,Male,NA,GCSEs,NA,42,1,Leave,Leave
