Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651589251098,03/05/2022 14:47:31,1651589251535,1,03/05/2022 15:47:31,85800,7,task-t3d4,NA,21642419,6399237,NA,complete,NA,62714063e9db12e15cec4361,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x577,NA,ITT Ratings,4,Remain,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_leavers,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651589254231,03/05/2022 14:47:34,1651589254712,1,03/05/2022 15:47:34,85800,7,task-t3d4,NA,21642419,6399237,NA,complete,NA,62714063e9db12e15cec4361,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x577,NA,ITT Ratings,4,Remain,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_leavers,batch2_leavers,1,1,1,Screen 1,advancementZone,continue_button,3121.699999988079,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651589259474,03/05/2022 14:47:39,1651589259974,1,03/05/2022 15:47:39,85800,7,task-t3d4,NA,21642419,6399237,NA,complete,NA,62714063e9db12e15cec4361,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x577,NA,ITT Ratings,4,Remain,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_leavers,batch2_leavers,51,1,1,Screen 1,continueButton,response_rating_scale_likert_active,5242.900000035763,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,LAws we can make our own laws,1,4/4/22,4/4/22,R_XueMc9y41rJsqhr,YES,Leave (For Brexit),Undecided,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Never,Never,35,Female,NA,GCSEs,NA,18,3,Leave,Leave
4,1651589263428,03/05/2022 14:47:43,1651589263918,1,03/05/2022 15:47:43,85800,7,task-t3d4,NA,21642419,6399237,NA,complete,NA,62714063e9db12e15cec4361,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x577,NA,ITT Ratings,4,Remain,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_leavers,batch2_leavers,5,2,1,Screen 1,continueButton,response_rating_scale_likert_active,3919.699999988079,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The 'right' thing to do,1,4/4/22,4/4/22,R_2uHXR6x7eQTfyVD,YES,Leave (For Brexit),Very confident,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,32,Male,NA,Doctorate (PhD),-,11,2,Leave,Remain
5,1651589281462,03/05/2022 14:48:01,1651589281971,1,03/05/2022 15:48:01,85800,7,task-t3d4,NA,21642419,6399237,NA,complete,NA,62714063e9db12e15cec4361,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x577,NA,ITT Ratings,4,Remain,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_leavers,batch2_leavers,33,3,1,Screen 1,continueButton,response_rating_scale_likert_active,18041.39999997616,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Countries unequal in economy leading to disproportionate immigration which then leads to social tensions,1,4/4/22,4/4/22,R_ThFGcCdnwHRGsZr,YES,Leave (For Brexit),Undecided,Agree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Never,41,Male,NA,"Undergraduate degree (BSc, BA)",NA,15,3,Leave,Leave
6,1651589284407,03/05/2022 14:48:04,1651589284904,1,03/05/2022 15:48:04,85800,7,task-t3d4,NA,21642419,6399237,NA,complete,NA,62714063e9db12e15cec4361,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x577,NA,ITT Ratings,4,Remain,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_leavers,batch2_leavers,9,4,1,Screen 1,continueButton,response_rating_scale_likert_active,2913.2000000476837,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"More money for the UK, instead of paying for the EU",1,4/4/22,4/4/22,R_2uHXR6x7eQTfyVD,YES,Leave (For Brexit),Very confident,Agree,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Rarely,Rarely,32,Male,NA,Doctorate (PhD),-,11,3,Leave,Leave
7,1651589287456,03/05/2022 14:48:07,1651589287959,1,03/05/2022 15:48:07,85800,7,task-t3d4,NA,21642419,6399237,NA,complete,NA,62714063e9db12e15cec4361,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x577,NA,ITT Ratings,4,Remain,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_leavers,batch2_leavers,2,5,1,Screen 1,continueButton,response_rating_scale_likert_active,3042,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select 'Somewhat Agree' for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check1,NA,NA
8,1651589290732,03/05/2022 14:48:10,1651589291242,1,03/05/2022 15:48:11,85800,7,task-t3d4,NA,21642419,6399237,NA,complete,NA,62714063e9db12e15cec4361,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x577,NA,ITT Ratings,4,Remain,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_leavers,batch2_leavers,48,6,1,Screen 1,continueButton,response_rating_scale_likert_active,3256.5,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,by allowing them to trade more freely with non-EU markets. F,1,4/4/22,4/4/22,R_XueMc9y41rJsqhr,YES,Leave (For Brexit),Undecided,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Never,Never,35,Female,NA,GCSEs,NA,18,3,Leave,Remain
9,1651589293138,03/05/2022 14:48:13,1651589293412,1,03/05/2022 15:48:13,85800,7,task-t3d4,NA,21642419,6399237,NA,complete,NA,62714063e9db12e15cec4361,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x577,NA,ITT Ratings,4,Remain,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_leavers,batch2_leavers,16,7,1,Screen 1,continueButton,response_rating_scale_likert_active,2153.100000023842,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,better and easier trading,1,4/4/22,4/4/22,R_3hrt3qakK6SasVx,YES,Leave (For Brexit),Undecided,Neither Agree nor Disagree,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Never,Never,58,Female,NA,GCSEs,NA,13,1,Leave,Remain
10,1651589294904,03/05/2022 14:48:14,1651589295400,1,03/05/2022 15:48:15,85800,7,task-t3d4,NA,21642419,6399237,NA,complete,NA,62714063e9db12e15cec4361,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x577,NA,ITT Ratings,4,Remain,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_leavers,batch2_leavers,41,8,1,Screen 1,continueButton,response_rating_scale_likert_active,1967,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"prices staying the same, no big increases",1,4/4/22,4/4/22,R_2U5TinR5nYU5ezP,YES,Leave (For Brexit),Doubtful,Neither Agree nor Disagree,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Rarely,Rarely,35,Male,NA,GCSEs,"I regret voting leave, we were all misled",17,2,Leave,Remain
11,1651589296323,03/05/2022 14:48:16,1651589296836,1,03/05/2022 15:48:16,85800,7,task-t3d4,NA,21642419,6399237,NA,complete,NA,62714063e9db12e15cec4361,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x577,NA,ITT Ratings,4,Remain,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_leavers,batch2_leavers,58,9,1,Screen 1,continueButton,response_rating_scale_likert_active,1416.9000000357628,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Better the devil you know than the devil you don't.,1,4/4/22,4/4/22,R_1plK5bEvI0ZVhcf,YES,Leave (For Brexit),Very confident,Agree,NA,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Once or twice a year,Rarely,65,Male,NA,"Undergraduate degree (BSc, BA)",BREXIT is an old topic!  Hard to give an opinion on someone who might have different (wrong!) views..,20,1,Leave,Remain
